n,m,Routing function,Virtual channels number,Virtual chanel buffer size,Optimal data generation rate,Optimal throughput value
2,1,1,1,1,0.3,0.2968
2,1,1,1,2,0.5,0.513934
2,1,1,1,3,0.9,0.820966
2,1,1,1,4,1.1,1.053134
2,1,1,2,1,0.3,0.288534
2,1,1,2,2,0.7,0.691466
2,1,1,2,3,1.1,1.067434
2,1,1,2,4,1.3,1.255434
2,1,1,3,1,0.3,0.285166
2,1,1,3,2,0.7,0.715266
2,1,1,3,3,1.1,1.059966
2,1,1,3,4,1.3,1.254634
2,1,1,4,1,0.3,0.297666
2,1,1,4,2,0.7,0.7044
2,1,1,4,3,1.1,1.0587
2,1,1,4,4,1.3,1.259
2,1,0,1,1,0.3,0.2921
2,1,0,1,2,0.5,0.481934
2,1,0,1,3,0.9,0.825966
2,1,0,1,4,1.1,1.0426
2,1,0,2,1,0.3,0.297734
2,1,0,2,2,0.7,0.691866
2,1,0,2,3,1.1,1.0658
2,1,0,2,4,1.3,1.2576
2,1,0,3,1,0.3,0.3001
2,1,0,3,2,0.1,0.1036
2,1,0,3,3,1.1,1.0647
2,1,0,3,4,1.3,1.259066
2,1,0,4,1,0.3,0.29805
2,1,0,4,2,0.7,0.7128
2,1,0,4,3,1.1,1.067134
2,1,0,4,4,1.3,1.254966
2,2,1,1,1,0.2,0.2042
2,2,1,2,1,0.6,0.588768
2,2,1,3,1,0.6,0.6071
2,2,1,4,1,0.6,0.5826
2,2,1,1,2,1.0,0.9814
2,2,1,1,3,1.4,1.370368
2,2,1,2,2,1.4,1.405868
2,2,1,3,2,1.4,1.386868
2,2,1,1,4,1.8,1.790232
2,2,1,4,2,1.4,1.450732
2,2,1,2,3,1.8,1.838068
2,2,1,3,3,1.8,1.8199
2,2,1,4,3,1.8,1.807468
2,2,1,2,4,2.2,2.182968
2,2,1,3,4,2.6,2.374
2,2,1,4,4,2.6,2.4051
2,2,0,1,1,0.2,0.2057
2,2,0,2,1,0.6,0.5987
2,2,0,3,1,0.6,0.589532
2,2,0,4,1,0.6,0.6192
2,2,0,1,2,1.0,0.9817
2,2,0,1,3,1.4,1.415768
2,2,0,2,2,1.4,1.392368
2,2,0,3,2,1.4,1.429632
2,2,0,1,4,1.8,1.7837
2,2,0,4,2,1.4,1.359132
2,2,0,2,3,1.8,1.791668
2,2,0,3,3,1.8,1.7973
2,2,0,4,3,1.8,1.7784
2,2,0,2,4,2.2,2.199532
2,2,0,3,4,2.6,2.3954
2,2,0,4,4,2.6,2.380632
2,3,1,1,1,0.4,0.3998
2,3,1,1,2,2.0,1.8032
2,3,1,1,3,2.8,2.560368
2,3,1,1,4,3.6,3.296368
2,3,1,2,1,1.2,1.203
2,3,1,2,2,2.8,2.74
2,3,1,2,3,3.6,3.575296
2,3,1,2,4,4.4,4.413536
2,3,1,3,1,1.2,1.211304
2,3,1,3,2,2.8,2.801336
2,3,1,3,3,3.6,3.616768
2,3,1,3,4,4.4,4.393
2,3,1,4,1,1.2,1.220136
2,3,1,4,2,2.8,2.742864
2,3,1,4,3,3.6,3.667896
2,3,1,4,4,5.2,4.720336
2,3,0,1,1,0.4,0.3953
2,3,0,1,2,2.0,1.830664
2,3,0,1,3,2.8,2.572432
2,3,0,1,4,3.6,3.291336
2,3,0,2,1,1.2,1.201752
2,3,0,2,2,2.8,2.7506
2,3,0,2,3,3.6,3.627
2,3,0,2,4,4.4,4.3676
2,3,0,3,1,1.2,1.177696
2,3,0,3,2,2.8,2.802296
2,3,0,3,3,3.6,3.621
2,3,0,3,4,4.4,4.425768
2,3,0,4,1,1.2,1.154936
2,3,0,4,2,2.8,2.804432
2,3,0,4,3,3.6,3.540336
2,3,0,4,4,5.2,4.723336
2,4,1,1,1,0.8,0.8195008
2,4,1,1,2,2.4,2.412096
2,4,1,1,3,4.0,4.034368
2,4,1,1,4,5.6,5.609104
2,4,1,2,1,2.4,2.34904
2,4,1,2,2,5.6,5.254992
2,4,1,2,3,7.2,7.0596
2,4,1,2,4,8.8,8.815408
2,4,1,3,1,2.4,2.417664
2,4,1,3,2,5.6,5.502128
2,4,1,3,3,7.2,7.1936
2,4,1,3,4,8.8,8.899136
2,4,1,4,1,2.4,2.424672
2,4,1,4,2,5.6,5.547728
2,4,1,4,3,7.2,7.16384
2,4,1,4,4,10.4,9.451072
2,4,0,1,1,0.8,0.7959664
2,4,0,1,2,2.4,2.399936
2,4,0,1,3,4.0,3.9416
2,4,0,1,4,5.6,5.615904
2,4,0,2,1,2.4,2.4152
2,4,0,2,2,5.6,5.264304
2,4,0,2,3,7.2,7.134096
2,4,0,2,4,8.8,8.761472
2,4,0,3,1,2.4,2.387392
2,4,0,3,2,5.6,5.49336
2,4,0,3,3,7.2,7.186672
2,4,0,3,4,8.8,8.778992
2,4,0,4,1,2.4,2.396272
2,4,0,4,2,5.6,5.56696
2,4,0,4,3,7.2,7.178496
2,4,0,4,4,10.4,9.434672
2,5,1,1,1,1.6,1.615968
2,5,1,1,2,4.8,4.804896
2,5,1,1,3,8.0,7.9584
2,5,1,1,4,11.2,11.113568
2,5,1,2,1,4.8,4.83376
2,5,1,2,2,11.2,10.22752
2,5,1,2,3,14.4,14.074752
2,5,1,2,4,17.6,17.59344
2,5,1,3,1,4.8,4.857152
2,5,1,3,2,11.2,10.833536
2,5,1,3,3,14.4,14.386496
2,5,1,3,4,17.6,17.529728
2,5,1,4,1,4.8,4.837504
2,5,1,4,2,11.2,10.885888
2,5,1,4,3,14.4,14.404608
2,5,1,4,4,20.8,18.982336
2,5,0,1,1,1.6,1.6016672
2,5,0,1,2,4.8,4.846048
2,5,0,1,3,8.0,7.989728
2,5,0,1,4,11.2,11.164032
2,5,0,2,1,4.8,4.717312
2,5,0,2,2,11.2,10.255424
2,5,0,2,3,14.4,14.028672
2,5,0,2,4,17.6,17.512672
2,5,0,3,1,4.8,4.8072
2,5,0,3,2,11.2,10.82848
2,5,0,3,3,14.4,14.344992
2,5,0,3,4,17.6,17.601792
2,5,0,4,1,4.8,4.85712
2,5,0,4,2,11.2,10.891616
2,5,0,4,3,14.4,14.419232
2,5,0,4,4,20.8,19.016032
2,6,1,1,1,3.2,3.2323008
2,6,1,1,2,9.6,9.688448
2,6,1,1,3,16.0,15.91232
2,6,1,1,4,22.4,21.498048
2,6,1,2,1,9.6,9.716224
2,6,1,2,2,16.0,15.985728
2,6,1,2,3,28.8,27.84864
2,6,1,2,4,35.2,34.967296
2,6,1,3,1,9.6,9.60704
2,6,1,3,2,22.4,21.35648
2,6,1,3,3,28.8,28.718336
2,6,1,3,4,41.6,37.65664
2,6,1,4,1,9.6,9.635008
2,6,1,4,2,22.4,21.524864
2,6,1,4,3,28.8,28.778112
2,6,1,4,4,41.6,38.165184
2,6,0,1,1,3.2,3.1834688
2,6,0,1,2,9.6,9.619776
2,6,0,1,3,16.0,15.946752
2,6,0,1,4,22.4,21.54592
2,6,0,2,1,9.6,9.515136
2,6,0,2,2,16.0,15.956224
2,6,0,2,3,28.8,27.869888
2,6,0,2,4,35.2,34.964096
2,6,0,3,1,9.6,9.424256
2,6,0,3,2,22.4,21.38176
2,6,0,3,3,28.8,28.717696
2,6,0,3,4,41.6,37.603264
2,6,0,4,1,9.6,9.635776
2,6,0,4,2,22.4,21.520704
2,6,0,4,3,28.8,28.775808
2,6,0,4,4,41.6,38.176384
2,7,1,1,1,6.4,6.4066304
2,7,1,1,2,19.2,19.181312
2,7,1,1,3,32.0,30.732032
2,7,1,1,4,44.8,40.690176
2,7,1,2,1,19.2,19.071232
2,7,1,2,2,32.0,32.01216
2,7,1,2,3,57.6,55.326848
2,7,1,2,4,70.4,70.032896
2,7,1,3,1,19.2,19.256832
2,7,1,3,2,44.8,42.390144
2,7,1,3,3,57.6,57.39904
2,7,1,3,4,83.2,75.475072
2,7,1,4,1,19.2,19.143424
2,7,1,4,2,44.8,42.701056
2,7,1,4,3,57.6,57.374592
2,7,1,4,4,83.2,76.80064
2,7,0,1,1,6.4,6.3887616
2,7,0,1,2,19.2,19.177344
2,7,0,1,3,32.0,30.636416
2,7,0,1,4,44.8,40.678016
2,7,0,2,1,19.2,19.263872
2,7,0,2,2,32.0,31.839104
2,7,0,2,3,57.6,55.415936
2,7,0,2,4,70.4,70.018176
2,7,0,3,1,19.2,19.118336
2,7,0,3,2,44.8,42.41536
2,7,0,3,3,57.6,57.263104
2,7,0,3,4,83.2,75.366912
2,7,0,4,1,19.2,19.065856
2,7,0,4,2,44.8,42.721152
2,7,0,4,3,57.6,57.382016
2,7,0,4,4,83.2,76.75776
2,8,1,1,1,12.8,12.8427264
2,8,1,1,2,38.4,38.386176
2,8,1,1,3,64.0,58.006528
2,8,1,1,4,64.0,63.8848
2,8,1,2,1,38.4,38.347264
2,8,1,2,2,64.0,63.746304
2,8,1,2,3,115.2,110.089216
2,8,1,2,4,140.8,140.178688
2,8,1,3,1,38.4,38.403584
2,8,1,3,2,89.6,84.418048
2,8,1,3,3,115.2,114.841344
2,8,1,3,4,166.4,151.704576
2,8,1,4,1,38.4,38.457856
2,8,1,4,2,89.6,85.114624
2,8,1,4,3,115.2,114.9952
2,8,1,4,4,166.4,154.256384
2,8,0,1,1,12.8,12.6840576
2,8,0,1,2,38.4,38.417408
2,8,0,1,3,64.0,57.886464
2,8,0,1,4,64.0,64.064
2,8,0,2,1,38.4,38.313472
2,8,0,2,2,64.0,63.91936
2,8,0,2,3,115.2,110.047232
2,8,0,2,4,140.8,140.180992
2,8,0,3,1,38.4,38.525184
2,8,0,3,2,89.6,84.395008
2,8,0,3,3,115.2,114.672896
2,8,0,3,4,166.4,151.76832
2,8,0,4,1,38.4,38.423552
2,8,0,4,2,89.6,85.067776
2,8,0,4,3,115.2,114.539008
2,8,0,4,4,166.4,154.051328
4,1,1,1,1,0.2,0.1852668
4,1,1,1,2,1.0,0.904332
4,1,1,1,3,1.4,1.272568
4,1,1,1,4,1.8,1.635168
4,1,1,2,1,0.6,0.589868
4,1,1,2,2,1.4,1.378468
4,1,1,2,3,1.8,1.835032
4,1,1,2,4,2.2,2.1749
4,1,1,3,1,0.6,0.6004
4,1,1,3,2,1.4,1.3676
4,1,1,3,3,1.8,1.8075
4,1,1,3,4,2.2,2.174732
4,1,1,4,1,0.6,0.586132
4,1,1,4,2,1.4,1.4132
4,1,1,4,3,1.8,1.815468
4,1,1,4,4,2.2,2.174268
4,1,0,1,1,0.2,0.2058332
4,1,0,1,2,1.0,0.901068
4,1,0,1,3,1.4,1.295768
4,1,0,1,4,1.8,1.652168
4,1,0,2,1,0.6,0.5987
4,1,0,2,2,1.4,1.3947
4,1,0,2,3,1.8,1.800632
4,1,0,2,4,2.2,2.193532
4,1,0,3,1,0.6,0.603368
4,1,0,3,2,1.4,1.412268
4,1,0,3,3,1.8,1.800032
4,1,0,3,4,2.2,2.249868
4,1,0,4,1,0.6,0.617268
4,1,0,4,2,1.4,1.412368
4,1,0,4,3,1.8,1.816368
4,1,0,4,4,2.2,2.1873
4,3,1,1,1,3.2,3.1884672
4,3,1,1,2,3.2,3.183232
4,3,1,1,3,9.6,9.611328
4,3,1,1,4,16.0,15.582912
4,3,1,2,1,9.6,9.264576
4,3,1,2,2,16.0,16.098432
4,3,1,2,3,22.4,22.486144
4,3,1,2,4,28.8,28.905152
4,3,1,3,1,9.6,9.678848
4,3,1,3,2,22.4,20.517504
4,3,1,3,3,28.8,27.547456
4,3,1,3,4,35.2,33.406528
4,3,1,4,1,9.6,9.545728
4,3,1,4,2,22.4,20.810112
4,3,1,4,3,28.8,28.145152
4,3,1,4,4,35.2,34.379136
4,3,0,1,1,3.2,3.1723008
4,3,0,1,2,3.2,3.146336
4,3,0,1,3,9.6,9.688448
4,3,0,1,4,16.0,15.59936
4,3,0,2,1,9.6,9.32608
4,3,0,2,2,16.0,15.940096
4,3,0,2,3,22.4,22.401472
4,3,0,2,4,28.8,28.812864
4,3,0,3,1,9.6,9.581696
4,3,0,3,2,22.4,20.484928
4,3,0,3,3,28.8,27.500224
4,3,0,3,4,35.2,33.383104
4,3,0,4,1,9.6,9.616576
4,3,0,4,2,22.4,20.785472
4,3,0,4,3,28.8,28.048896
4,3,0,4,4,35.2,34.319936
4,4,1,1,1,12.8,12.7649024
4,4,1,1,2,12.8,12.7278592
4,4,1,1,3,38.4,38.41408
4,4,1,1,4,38.4,38.360576
4,4,1,2,1,12.8,12.8667904
4,4,1,2,2,64.0,63.862528
4,4,1,2,3,89.6,89.517568
4,4,1,2,4,115.2,113.07008
4,4,1,3,1,38.4,38.38464
4,4,1,3,2,64.0,64.041984
4,4,1,3,3,115.2,108.47232
4,4,1,3,4,140.8,131.461376
4,4,1,4,1,38.4,38.546688
4,4,1,4,2,89.6,81.90208
4,4,1,4,3,115.2,111.593984
4,4,1,4,4,140.8,136.70272
4,4,0,1,1,12.8,12.7908352
4,4,0,1,2,12.8,12.8726784
4,4,0,1,3,38.4,38.353664
4,4,0,1,4,38.4,38.441984
4,4,0,2,1,12.8,12.7944704
4,4,0,2,2,64.0,63.973632
4,4,0,2,3,89.6,89.660416
4,4,0,2,4,115.2,113.154048
4,4,0,3,1,38.4,38.521344
4,4,0,3,2,64.0,63.972096
4,4,0,3,3,115.2,108.379904
4,4,0,3,4,140.8,131.38048
4,4,0,4,1,38.4,38.44736
4,4,0,4,2,89.6,81.949184
4,4,0,4,3,115.2,111.700736
4,4,0,4,4,140.8,136.632832
6,1,1,1,1,0.3,0.2976498
6,1,1,1,2,0.9,0.888432
6,1,1,1,3,1.5,1.378266
6,1,1,1,4,1.5,1.468464
6,1,1,2,1,0.9,0.923802
6,1,1,2,2,1.5,1.524498
6,1,1,2,3,2.7,2.525436
6,1,1,2,4,2.7,2.684034
6,1,1,3,1,0.9,0.9012
6,1,1,3,2,2.1,2.062566
6,1,1,3,3,2.7,2.614866
6,1,1,3,4,3.3,3.007398
6,1,1,4,1,0.9,0.893232
6,1,1,4,2,2.1,2.064564
6,1,1,4,3,2.7,2.672364
6,1,1,4,4,3.3,3.046134
6,1,0,1,1,0.3,0.3002334
6,1,0,1,2,0.9,0.892398
6,1,0,1,3,1.5,1.3713
6,1,0,1,4,1.5,1.496664
6,1,0,2,1,0.9,0.867264
6,1,0,2,2,1.5,1.432398
6,1,0,2,3,2.7,2.512866
6,1,0,2,4,2.7,2.746368
6,1,0,3,1,0.9,0.8883
6,1,0,3,2,2.1,2.066364
6,1,0,3,3,2.7,2.630136
6,1,0,3,4,3.3,3.0087
6,1,0,4,1,0.9,0.8877
6,1,0,4,2,2.1,2.059566
6,1,0,4,3,2.7,2.663766
6,1,0,4,4,3.3,3.057036
6,3,1,1,2,10.8,10.6921944
6,3,1,1,3,10.8,10.7993088
6,3,1,1,4,32.4,32.385528
6,3,1,2,1,10.8,10.8198936
6,3,1,2,2,32.4,32.52096
6,3,1,2,3,54.0,54.178416
6,3,1,2,4,75.6,73.11492
6,3,1,3,1,32.4,31.7358
6,3,1,3,2,54.0,54.026568
6,3,1,3,3,75.6,75.478608
6,3,1,3,4,75.6,75.566952
6,3,1,4,1,32.4,32.40432
6,3,1,4,2,54.0,54.08316
6,3,1,4,3,75.6,75.344904
6,3,1,4,4,97.2,93.134448
6,3,0,1,2,10.8,10.7223264
6,3,0,1,3,10.8,10.8119664
6,3,0,1,4,32.4,32.37732
6,3,0,2,1,10.8,10.8280584
6,3,0,2,2,32.4,32.275152
6,3,0,2,3,54.0,53.86176
6,3,0,2,4,75.6,73.085544
6,3,0,3,1,32.4,31.752
6,3,0,3,2,54.0,53.665416
6,3,0,3,3,75.6,75.315528
6,3,0,3,4,75.6,75.639312
6,3,0,4,1,32.4,32.204736
6,3,0,4,2,54.0,53.938224
6,3,0,4,3,75.6,75.529152
6,3,0,4,4,97.2,93.015864
10,2,1,1,2,5.0,4.98567
10,2,1,1,3,5.0,5.07193
10,2,1,1,4,5.0,4.9129
10,2,1,2,1,5.0,5.03367
10,2,1,2,2,15.0,14.1049
10,2,1,2,3,15.0,14.992
10,2,1,2,4,25.0,23.506
10,2,1,3,1,5.0,5.01793
10,2,1,3,2,15.0,15.0825
10,2,1,3,3,25.0,24.961
10,2,1,3,4,25.0,25.0942
10,2,1,4,1,15.0,14.4957
10,2,1,4,2,25.0,24.4769
10,2,1,4,3,25.0,24.8538
10,2,1,4,4,25.0,25.0559
10,2,0,1,2,5.0,4.99557
10,2,0,1,3,5.0,4.993
10,2,0,1,4,5.0,4.9692
10,2,0,2,1,5.0,4.9935
10,2,0,2,2,15.0,14.2327
10,2,0,2,3,15.0,14.947
10,2,0,2,4,25.0,23.5106
10,2,0,3,1,5.0,4.99663
10,2,0,3,2,15.0,15.0317
10,2,0,3,3,25.0,24.7783
10,2,0,3,4,25.0,24.8978
10,2,0,4,1,15.0,14.5254
10,2,0,4,2,25.0,24.5434
10,2,0,4,3,25.0,24.9368
10,2,0,4,4,25.0,25.1692
10,1,1,1,1,0.5,0.4813
10,1,1,1,2,0.5,0.508733
10,1,1,1,3,0.5,0.491033
10,1,1,1,4,1.5,1.50287
10,1,1,2,1,0.5,0.492867
10,1,1,2,2,1.5,1.49317
10,1,1,2,3,2.5,2.5004
10,1,1,2,4,2.5,2.5363
10,1,1,3,1,1.5,1.4649
10,1,1,3,2,2.5,2.47053
10,1,1,3,3,3.5,3.1919
10,1,1,3,4,3.5,3.32757
10,1,1,4,1,1.5,1.4957
10,1,1,4,2,2.5,2.5335
10,1,1,4,3,3.5,3.2981
10,1,1,4,4,3.5,3.34783
10,1,0,1,1,0.5,0.475233
10,1,0,1,2,0.5,0.479133
10,1,0,1,3,0.5,0.4916
10,1,0,1,4,1.5,1.48463
10,1,0,2,1,0.5,0.5115
10,1,0,2,2,1.5,1.4533
10,1,0,2,3,2.5,2.53037
10,1,0,2,4,2.5,2.51407
10,1,0,3,1,1.5,1.4884
10,1,0,3,2,2.5,2.52183
10,1,0,3,3,3.5,3.1716
10,1,0,3,4,3.5,3.27957
10,1,0,4,1,1.5,1.53047
10,1,0,4,2,2.5,2.4715
10,1,0,4,3,3.5,3.28473
10,1,0,4,4,3.5,3.4042
8,1,1,1,1,0.4,0.3975336
8,1,1,1,2,0.4,0.4192664
8,1,1,1,3,1.2,1.206
8,1,1,1,4,1.2,1.203664
8,1,1,2,1,1.2,1.094136
8,1,1,2,2,2.0,1.9854
8,1,1,2,3,2.8,2.701432
8,1,1,2,4,2.8,2.779568
8,1,1,3,1,1.2,1.197232
8,1,1,3,2,2.0,2.017832
8,1,1,3,3,2.8,2.730968
8,1,1,3,4,3.6,3.250968
8,1,1,4,1,1.2,1.222864
8,1,1,4,2,2.8,2.576136
8,1,1,4,3,2.8,2.769464
8,1,1,4,4,3.6,3.370336
8,1,0,1,1,0.4,0.3958336
8,1,0,1,2,0.4,0.4073336
8,1,0,1,3,1.2,1.156968
8,1,0,1,4,1.2,1.212664
8,1,0,2,1,1.2,1.084
8,1,0,2,2,2.0,1.983832
8,1,0,2,3,2.8,2.723304
8,1,0,2,4,2.8,2.791768
8,1,0,3,1,1.2,1.172864
8,1,0,3,2,2.0,1.973536
8,1,0,3,3,2.8,2.793064
8,1,0,3,4,3.6,3.265368
8,1,0,4,1,1.2,1.172264
8,1,0,4,2,2.8,2.586304
8,1,0,4,3,2.8,2.784432
8,1,0,4,4,3.6,3.369632
3,1,1,2,1,0.45,0.423501
3,1,1,1,2,0.75,0.7656
3,1,1,1,3,1.05,1.084734
3,1,1,1,4,1.35,1.344501
3,1,1,2,2,1.05,1.0608
3,1,1,2,3,1.65,1.487367
3,1,1,2,4,1.95,1.770732
3,1,1,3,1,0.45,0.457833
3,1,1,3,2,1.05,1.035168
3,1,1,3,3,1.65,1.5072
3,1,1,3,4,1.95,1.798032
3,1,1,4,1,0.45,0.447867
3,1,1,4,2,1.05,1.069833
3,1,1,4,3,1.65,1.509801
3,1,1,4,4,1.95,1.812501
3,1,1,1,1,0.15,0.1565001
3,1,0,1,1,0.45,0.423501
3,1,0,1,2,0.75,0.7656
3,1,0,1,3,1.05,1.084734
3,1,0,1,4,1.35,1.344501
3,1,0,2,1,1.05,1.0608
3,1,0,2,2,1.65,1.487367
3,1,0,2,3,1.95,1.770732
3,1,0,2,4,0.45,0.457833
3,1,0,3,1,1.05,1.035168
3,1,0,3,2,1.65,1.5072
3,1,0,3,3,1.95,1.798032
3,1,0,3,4,0.45,0.447867
3,1,0,4,1,1.05,1.069833
3,1,0,4,2,1.65,1.509801
3,1,0,4,3,1.95,1.812501
3,1,0,4,4,0.15,0.1565001
3,3,1,1,1,1.35,1.3665321
3,3,1,1,2,4.05,4.056075
3,3,1,1,3,6.75,6.686199
3,3,1,1,4,9.45,8.804727
3,3,1,2,1,4.05,4.052538
3,3,1,2,2,6.75,6.696108
3,3,1,2,3,12.15,11.62647
3,3,1,2,4,14.85,14.394132
3,3,1,3,1,4.05,3.993192
3,3,1,3,2,9.45,9.046512
3,3,1,3,3,12.15,12.032793
3,3,1,3,4,14.85,14.735898
3,3,1,4,1,4.05,4.062798
3,3,1,4,2,9.45,9.127431
3,3,1,4,3,12.15,12.124377
3,3,1,4,4,14.85,14.837121
3,3,0,1,1,1.35,1.3308678
3,3,0,1,2,4.05,4.081104
3,3,0,1,3,6.75,6.653826
3,3,0,1,4,9.45,8.836398
3,3,0,2,1,4.05,4.022055
3,3,0,2,2,6.75,6.75594
3,3,0,2,3,12.15,11.590857
3,3,0,2,4,14.85,14.329224
3,3,0,3,1,4.05,4.037526
3,3,0,3,2,9.45,9.043866
3,3,0,3,3,12.15,12.028635
3,3,0,3,4,14.85,14.861799
3,3,0,4,1,4.05,4.084479
3,3,0,4,2,9.45,9.115497
3,3,0,4,3,12.15,12.155643
3,3,0,4,4,14.85,14.849865
3,5,0,1,1,12.15,12.1917231
3,5,0,1,2,36.45,33.062337
3,5,0,1,3,36.45,36.441495
3,5,0,1,4,60.75,60.541506
3,5,0,2,1,36.45,35.4051
3,5,0,2,2,60.75,60.892641
3,5,0,2,3,109.35,98.598222
3,5,0,2,4,133.65,123.565014
3,5,0,3,1,36.45,36.222795
3,5,0,3,2,85.05,78.553638
3,5,0,3,3,109.35,107.749602
3,5,0,3,4,133.65,133.531659
3,5,0,4,1,36.45,36.384876
3,5,0,4,2,85.05,79.565733
3,5,0,4,3,109.35,108.544698
3,5,0,4,4,133.65,133.685964
3,5,1,1,1,12.15,12.1782609
3,5,1,1,2,36.45,33.047028
3,5,1,1,3,36.45,36.369081
3,5,1,1,4,60.75,60.395949
3,5,1,2,1,36.45,35.325396
3,5,1,2,2,60.75,60.930063
3,5,1,2,3,109.35,98.554482
3,5,1,2,4,133.65,123.734142
3,5,1,3,1,36.45,36.54234
3,5,1,3,2,85.05,78.561171
3,5,1,3,3,109.35,107.604531
3,5,1,3,4,133.65,133.133625
3,5,1,4,1,36.45,36.504918
3,5,1,4,2,85.05,79.598052
3,5,1,4,3,109.35,108.970191
3,5,1,4,4,133.65,133.434945
5,1,1,1,1,0.25,0.2590665
5,1,1,1,2,0.75,0.765765
5,1,1,1,3,1.25,1.265335
5,1,1,1,4,1.75,1.6981
5,1,1,2,1,0.75,0.771335
5,1,1,2,2,1.75,1.685565
5,1,1,2,3,2.25,2.232565
5,1,1,2,4,2.75,2.602065
5,1,1,3,1,0.75,0.733065
5,1,1,3,2,1.75,1.738665
5,1,1,3,3,2.25,2.236535
5,1,1,3,4,2.75,2.695865
5,1,1,4,1,0.75,0.754165
5,1,1,4,2,1.75,1.769
5,1,1,4,3,2.25,2.2371
5,1,1,4,4,2.75,2.7041
5,1,0,1,1,0.25,0.2467
5,1,0,1,2,0.75,0.744665
5,1,0,1,3,1.25,1.244965
5,1,0,1,4,1.75,1.730035
5,1,0,2,1,0.75,0.771335
5,1,0,2,2,1.75,1.6874
5,1,0,2,3,2.25,2.227535
5,1,0,2,4,2.75,2.6208
5,1,0,3,1,0.75,0.7545
5,1,0,3,2,1.75,1.7793
5,1,0,3,3,2.25,2.2111
5,1,0,3,4,2.75,2.6883
5,1,0,4,1,0.75,0.761365
5,1,0,4,2,1.75,1.766035
5,1,0,4,3,2.25,2.229765
5,1,0,4,4,2.75,2.729335
7,1,0,1,1,0.35,0.3688664
7,1,0,1,2,1.05,0.960603
7,1,0,1,3,1.05,1.043231
7,1,0,1,4,1.75,1.668233
7,1,0,2,1,1.05,1.018969
7,1,0,2,2,1.75,1.748103
7,1,0,2,3,2.45,2.42557
7,1,0,2,4,3.15,2.991534
7,1,0,3,1,1.05,1.041103
7,1,0,3,2,2.45,2.30923
7,1,0,3,3,3.15,2.884497
7,1,0,3,4,2.75,2.6883
7,1,0,4,1,1.05,1.051834
7,1,0,4,2,2.45,2.334598
7,1,0,4,3,3.15,2.943766
7,1,0,4,4,3.15,3.122168
7,1,1,1,1,0.35,0.3600331
7,1,1,1,2,1.05,0.971831
7,1,1,1,3,1.05,1.019466
7,1,1,1,4,1.75,1.712501
7,1,1,2,1,1.05,1.023134
7,1,1,2,2,1.75,1.769131
7,1,1,2,3,2.45,2.468767
7,1,1,2,4,3.15,3.02477
7,1,1,3,1,1.05,1.034964
7,1,1,3,2,2.45,2.30923
7,1,1,3,3,3.15,2.881501
7,1,1,3,4,3.15,3.126767
7,1,1,4,1,1.05,1.056034
7,1,1,4,2,2.45,2.317469
7,1,1,4,3,3.15,2.966698
7,1,1,4,4,3.15,3.1689
9,1,1,1,1,0.45,0.4510998
9,1,1,1,2,0.45,0.4375998
9,1,1,1,3,1.35,1.276767
9,1,1,1,4,1.35,1.34253
9,1,1,2,1,0.45,0.4544667
9,1,1,2,2,1.35,1.333071
9,1,1,2,3,2.25,2.240235
9,1,1,2,4,3.15,3.098169
9,1,1,3,1,1.35,1.361934
9,1,1,3,2,2.25,2.259936
9,1,1,3,3,3.15,3.058866
9,1,1,3,4,3.15,3.200463
9,1,1,4,1,1.35,1.359036
9,1,1,4,2,2.25,2.275902
9,1,1,4,3,3.15,3.140766
9,1,1,4,4,3.15,3.159396
9,1,0,1,1,0.45,0.4526334
9,1,0,1,2,0.45,0.4482
9,1,0,1,3,1.35,1.267596
9,1,0,1,4,1.35,1.353771
9,1,0,2,1,0.45,0.464733
9,1,0,2,2,1.35,1.354437
9,1,0,2,3,2.25,2.220867
9,1,0,2,4,3.15,3.023865
9,1,0,3,1,1.35,1.348632
9,1,0,3,2,2.25,2.281563
9,1,0,3,3,3.15,3.092463
9,1,0,3,4,3.15,3.148632
9,1,0,4,1,1.35,1.37763
9,1,0,4,2,2.25,2.252331
9,1,0,4,3,3.15,3.142566
9,1,0,4,4,3.15,3.216204
9,2,1,1,2,4.05,4.0781637
9,2,1,1,3,4.05,4.0315644
9,2,1,1,4,4.05,4.0488012
9,2,1,2,2,12.15,12.137769
9,2,1,2,1,4.05,4.0652361
9,2,1,2,3,12.15,12.191958
9,2,1,2,4,20.25,20.138625
9,2,1,3,1,4.05,4.0622634
9,2,1,3,2,20.25,18.976437
9,2,1,3,3,20.25,20.409975
9,2,1,3,4,20.25,20.147778
9,2,1,4,1,12.15,12.097512
9,2,1,4,2,20.25,20.156688
9,2,1,4,3,20.25,20.25648
9,2,1,4,4,28.35,26.238006
9,2,0,1,2,4.05,4.0320018
9,2,0,1,3,4.05,4.0931325
9,2,0,1,4,4.05,3.9908295
9,2,0,2,2,12.15,12.186855
9,2,0,2,1,4.05,4.0781961
9,2,0,2,3,12.15,12.133152
9,2,0,2,4,20.25,20.261745
9,2,0,3,1,4.05,4.0108365
9,2,0,3,2,20.25,19.127097
9,2,0,3,3,20.25,20.121858
9,2,0,3,4,20.25,20.305242
9,2,0,4,1,12.15,12.081393
9,2,0,4,2,20.25,20.297304
9,2,0,4,3,20.25,20.275677
9,2,0,4,4,28.35,26.124444
